-1818,-779,8.02
-2219,-895,9.92
-1686,-903,8.46
-2038,-927,7.66
-1805,-1164,9.49
-1288,-920,8.44
-727,-964,7.86
-196,-1244,8.81
-711,-1464,9
-994,-1334,9.35
-745,-1331,9.67
-1123,-1495,8.79
-1553,-1467,8.77
-1602,-1079,8.67
-1216,-1103,9.08
-1065,-763,8.66
-690,-1207,7.64
-144,-1093,9.86
-350,-729,9.36
-354,-1173,8.65
-1871,-1036,8.53
-1363,-962,8.97
-966,-1253,9.68
-1302,-1151,8.42
-1005,-1037,8.78
-674,-776,8.18
-235,-780,8.97
6,-1049,8.41
-414,-1421,7.51
58,-1340,7.8
-1516,-1220,8.98
-1891,-1403,8.46
-1327,-1370,8.88
-1145,-832,8.61
-733,-778,8.47
-597,-1278,8.71
-388,-743,7.93
158,-913,8.65
199,-1234,8.35
325,-1517,7.62
-781,-1314,9.41
-969,-788,9.12
-1128,-1086,8.75
-981,-585,9.07
-671,-634,8.41
-191,-512,8.97
-507,-496,9.44
-872,-942,8.94
-1162,-745,8.27
-857,-630,8.04
-1230,-707,8.26
-1160,-1031,8.95
-773,-985,8
-434,-1223,8.38
-288,-805,8.98
-572,-1037,9.04
-964,-1093,8.13
-1062,-1448,8.9
-1247,-1204,7.66
-1230,-1508,8.28
-2780,-1119,7.43
-2256,-1284,8.14
-1736,-1129,7.98
-1168,-1054,8.38
-749,-795,8.73
-1235,-849,8.32
-992,-1081,9.58
-1463,-749,8.3
-1914,-932,7.92
-2222,-1150,8.17
-162,-1065,10.08
-526,-598,8.8
-246,-981,8.66
-816,-1138,7.99
-961,-1414,8.07
-976,-1059,8.75
-646,-744,8.31
-170,-619,8.48
136,-880,9.08
146,-1375,9.07
-555,-473,9.15
-535,-794,8.17
-795,-1023,9.03
-579,-718,7.96
-889,-627,8.35
-1119,-1133,8.8
-1187,-793,9.04
-1530,-1135,8.05
-1101,-1300,8.96
-1427,-1445,8.64
-334,-927,8.08
63,-948,8.38
-314,-1083,8.34
-820,-1324,9.07
-764,-824,9.06
-673,-1115,8.77
-638,-662,9.46
-1045,-864,9.06
-1352,-1149,9.2
-1904,-984,8.21
-1939,-991,7.81
-1688,-1401,9.24
-1933,-1132,8.95
-1582,-772,8.46
-1227,-596,9.57
-845,-903,8.41
-806,-498,8.97
-769,-841,9.72
-1093,-814,8.69
-943,-1314,7.7
-573,-1262,8.8
-297,-909,8.23
-768,-1097,10.02
-1032,-874,8.78
-1172,-464,8
-1174,-812,9.09
-759,-877,8.35
-1056,-501,9.31
-1610,-521,8.34
-1448,-1071,7.78
-1287,-1017,8.73
-1666,-1069,9.33
-1681,-572,8.08
-1895,-982,8.15
-1651,-1280,8.17
-2235,-1178,8.85
-1833,-1425,7.69
-1354,-1227,8.75
-1917,-1183,8.79
-1487,-1437,8.55
-1183,-921,7.88
-873,-834,8.4
-1099,-1263,7.84
-863,-1019,8.71
-759,-486,8.62
-1080,-985,9.33
-1332,-473,9.85
-1687,-478,8.75
-2250,-602,8.37
-2580,-515,8.03
-799,-1534,7.99
-519,-1282,7.53
-332,-1012,9.44
-667,-831,7.84
-322,-732,8.93
-743,-673,7.61
-452,-765,8.28
-175,-990,7.5
147,-1191,8.49
251,-723,9.59
-846,-1260,8.57
-668,-866,9.55
-1122,-1056,8.3
-1434,-864,8.25
-1359,-1169,8.53
-1038,-1000,9.34
-486,-905,7.98
-304,-1184,10.12
124,-778,7.91
527,-902,7.04
-2076,-1409,8.03
-2270,-1136,9.55
-1915,-1338,8.61
-1536,-1468,9.24
-1775,-1049,8.96
-1780,-746,8.1
-2089,-642,7.78
-2118,-1108,9.72
-1634,-770,7.79
-1528,-1289,8.5
-121,-1330,7.96
-565,-1450,7.25
-274,-1135,10.17
-809,-944,9.08
-1154,-926,8.2
-1297,-1355,9.44
-1807,-1443,8.49
-1729,-931,8.03
-2265,-851,8.3
-1776,-713,8.84
-1664,-1262,8.8
-1322,-1368,9.04
-1199,-1007,8.01
-1019,-1303,8.86
-1133,-943,8.39
-1341,-1204,9.07
-1802,-1148,8.25
-1340,-961,8.98
-1770,-916,7.41
-2059,-1257,7.64
-1494,-1093,8.48
-1138,-1147,8.62
-1071,-855,8.69
-1345,-1324,8.1
-1877,-1116,8.25
-2245,-891,7.03
-2012,-1228,8.15
-2421,-1234,9.46
-2370,-852,7.25
-2500,-1387,7.07
