2754,-1330,70.5
2729,-805,70.8
2932,-1121,68.9
2920,-669,68.9
3120,-1138,67.2
3143,-571,67.4
3674,-824,70.1
3402,-448,69.8
3514,-126,69.9
3512,218,69.8
1829,104,70.1
2120,29,68.1
1675,-278,69.8
1837,-697,69.4
2295,-742,67.8
2719,-1111,69
2836,-607,69
3325,-499,66.8
2988,-392,69.2
3451,-352,68.9
4065,-365,68.9
4470,-139,71.4
4821,-306,71.8
4906,-823,67.6
4551,-793,71.8
4085,-595,69
3750,-478,68.8
3608,-94,67.9
3121,-120,69.5
2588,-156,69.2
2003,-1337,67.3
1729,-1480,67.9
1943,-1003,69.6
1972,-554,70.5
2307,-844,70.3
2870,-742,67.6
2388,-711,67.7
2627,-289,69.4
3180,-364,68.7
3054,-891,68.5
1933,-1732,69.4
1689,-1986,68
1580,-1583,68.7
1080,-1354,69.5
1618,-1301,68.5
1935,-1333,69.7
2144,-969,70
2503,-685,71.1
2208,-380,69.5
2367,91,70.7
1250,-1001,70.1
1440,-1245,67
1153,-1614,68.1
750,-1218,67.3
932,-751,67.1
610,-595,67.8
202,-549,68.8
520,-248,68.6
17,-565,68.1
69,-222,70.1
-564,-917,67.3
-745,-530,68.5
-1067,-593,68.9
-1338,-989,69.7
-1707,-748,70.2
-1490,-1208,70.3
-1591,-1708,68
-1108,-1804,70.1
-1412,-1865,70
-1558,-1580,69.4
417,-910,68.9
-53,-758,66
-540,-629,66.7
-798,-1046,70.5
-724,-1626,67.4
-937,-1333,69.6
-1206,-1770,68.3
-1527,-1583,70.2
-1344,-1864,71
-1104,-2282,71
507,-2159,70.5
251,-1846,69.6
221,-2190,68.8
-154,-1898,69.9
-308,-2243,69.7
-397,-2543,67.8
-890,-2356,68.5
-519,-2311,68.1
-730,-1932,71.3
-1181,-1700,69.2
1435,-2369,68.7
1672,-1849,68.2
2098,-1567,68.7
1696,-1474,69.9
2216,-1443,69.7
2721,-1742,67.6
2432,-2104,68.8
2894,-2099,67.9
3280,-2025,67.9
3363,-1715,69.2
2338,-1398,66.9
2615,-1195,68.4
2147,-1218,68.3
1889,-1372,69.5
1931,-1901,69.6
2413,-1624,68.7
2110,-2113,70.3
1516,-2176,67.8
1731,-1779,69.8
2084,-1922,70.8
1610,-1977,68.7
1592,-1434,67.6
2112,-1367,67.3
2410,-1522,67.8
2150,-1898,67.3
2513,-2062,69.4
2753,-1665,71.1
3122,-1865,70.5
3239,-2272,70.7
2927,-2437,70.6
2491,-1160,68.8
2217,-915,68.6
1930,-1211,69.5
2253,-1167,69.4
2670,-1429,68.7
2780,-1765,69.7
2772,-2078,71.6
2972,-2555,69.6
2672,-2285,70.9
2303,-2619,70.3
4186,-556,70.5
4034,-981,69.5
3944,-1456,70.3
3632,-1008,68.2
3174,-1057,67.6
2837,-1183,69.6
3079,-820,68.4
2683,-983,69.3
2482,-1538,70.4
2047,-1321,68.5
1491,-1516,67.6
1009,-1530,69.6
614,-1860,71
494,-2262,68.6
79,-1889,69.9
2,-2461,71.4
401,-2803,68.9
763,-2670,69.5
1111,-2259,70.3
1334,-2518,70.6
-108,-1669,69
-543,-1819,69
-623,-1310,69
-604,-957,69.6
-587,-557,69.7
-385,-263,69.2
-4,-370,69.7
383,-536,68.5
578,-958,69.8
535,-1269,71
1345,10,69.2
782,-5,70.8
824,-495,68.5
1137,-395,69.9
1051,-962,69.7
958,-1257,69.7
657,-1178,69.1
138,-1473,70.4
-131,-1044,67.8
67,-681,68.2
2090,-1527,69.3
1539,-1408,67.6
1341,-1023,68.1
980,-1408,68.4
1040,-930,67.9
571,-1188,68.3
304,-1389,67.8
-176,-1738,69.6
-703,-1562,67.4
-395,-1492,67.6
3177,-875,68.9
2785,-562,67.5
3209,-495,67
2967,-943,69.8
3164,-1265,69.2
3461,-1319,66.4
3892,-1158,68.1
3526,-1040,69.3
3019,-1329,69.3
2797,-1856,68.2
4535,-970,67.8
3983,-736,70.2
4198,-1149,69.6
3840,-869,68.1
3538,-1130,70.7
3717,-1520,68.2
4056,-1813,68.5
4347,-1948,70.1
4553,-1420,68.6
4536,-1101,70.1
